experiment_name,family_id,family_label,prompt_id,prompt_label,prompt_text,prompt_slot,negative_prompt,seed,seed_slot,denoise,cfg,steps,sampler_name,scheduler,seconds,batch_size,comfy_prefix,local_filename,comfy_prompt_id,family_order,page_audio_path
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,417441241092408,4,0.4,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn040__slot04__seed417441241092408,descriptive__descriptive-01__dn040__slot04__seed417441241092408.flac,9d15dc98-1773-4c79-8a37-18d4b9f212e9,0,audit/audio/descriptive__descriptive-01__dn040__slot04__seed417441241092408.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,660458076140203,5,0.4,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn040__slot05__seed660458076140203,descriptive__descriptive-01__dn040__slot05__seed660458076140203.flac,51935b38-ea72-4f4a-a047-37384e201260,0,audit/audio/descriptive__descriptive-01__dn040__slot05__seed660458076140203.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-01,"Nature ambience, birds","Nature ambience, birds",1,,873534913822354,6,0.4,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-01/descriptive__descriptive-01__dn040__slot06__seed873534913822354,descriptive__descriptive-01__dn040__slot06__seed873534913822354.flac,4f576f10-80b6-4d80-a3ed-d51c4ac9eab3,0,audit/audio/descriptive__descriptive-01__dn040__slot06__seed873534913822354.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,467779948461085,1,1.0,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn100__slot01__seed467779948461085,descriptive__descriptive-02__dn100__slot01__seed467779948461085.flac,599b158d-4412-46c3-9de0-2036563cf058,0,audit/audio/descriptive__descriptive-02__dn100__slot01__seed467779948461085.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,758282017860344,2,1.0,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn100__slot02__seed758282017860344,descriptive__descriptive-02__dn100__slot02__seed758282017860344.flac,e0edbeb4-4fca-44bd-bfd2-3f0b2f34bb75,0,audit/audio/descriptive__descriptive-02__dn100__slot02__seed758282017860344.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,510094380489408,3,1.0,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn100__slot03__seed510094380489408,descriptive__descriptive-02__dn100__slot03__seed510094380489408.flac,374e4dc9-ff37-4200-b041-09f0826105bb,0,audit/audio/descriptive__descriptive-02__dn100__slot03__seed510094380489408.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,959546376485544,4,1.0,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn100__slot04__seed959546376485544,descriptive__descriptive-02__dn100__slot04__seed959546376485544.flac,ac9707c3-4aab-49c3-8e63-31665e702836,0,audit/audio/descriptive__descriptive-02__dn100__slot04__seed959546376485544.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,844919671624663,5,1.0,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn100__slot05__seed844919671624663,descriptive__descriptive-02__dn100__slot05__seed844919671624663.flac,7d0c7350-76fa-4058-8bf8-e41e267a9bcb,0,audit/audio/descriptive__descriptive-02__dn100__slot05__seed844919671624663.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,754560758249331,6,1.0,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn100__slot06__seed754560758249331,descriptive__descriptive-02__dn100__slot06__seed754560758249331.flac,23250d9c-f173-478e-a82a-6cfadbe075a1,0,audit/audio/descriptive__descriptive-02__dn100__slot06__seed754560758249331.mp3
prompt-denoise-audit-expanded,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise","City soundscape, traffic, noise",2,,467779948461085,1,0.7,8.0,60,dpmpp_3m_sde_gpu,karras,15.0,1,audio/ComfyUI/AIMC/audits/prompt-denoise-audit-expanded/descriptive/descriptive-02/descriptive__descriptive-02__dn070__slot01__seed467779948461085,descriptive__descriptive-02__dn070__slot01__seed467779948461085.flac,dcc03906-9277-4ac4-b43b-60d43216e4a8,0,audit/audio/descriptive__descriptive-02__dn070__slot01__seed467779948461085.mp3
