local_filename,family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,intended_prompt,actual_prompt,intended_cfg,actual_cfg,intended_steps,actual_steps,intended_denoise,actual_denoise,intended_sampler_name,actual_sampler_name,intended_scheduler,actual_scheduler,intended_seed,actual_seed,metadata_ok,matches_intended,mismatch_summary
descriptive__descriptive-02__dn040__slot01__seed467779948461085.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,467779948461085,1,0.4,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,467779948461085,467779948461085,True,True,
descriptive__descriptive-02__dn100__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,1.0,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,758282017860344,758282017860344,True,True,
descriptive__descriptive-02__dn070__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,0.7,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,758282017860344,758282017860344,True,True,
descriptive__descriptive-02__dn055__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,0.55,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,758282017860344,758282017860344,True,True,
descriptive__descriptive-02__dn040__slot02__seed758282017860344.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,758282017860344,2,0.4,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,758282017860344,758282017860344,True,True,
descriptive__descriptive-02__dn100__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,1.0,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,510094380489408,510094380489408,True,True,
descriptive__descriptive-02__dn070__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.7,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,510094380489408,510094380489408,True,True,
descriptive__descriptive-02__dn055__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.55,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,510094380489408,510094380489408,True,True,
descriptive__descriptive-02__dn040__slot03__seed510094380489408.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,510094380489408,3,0.4,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,510094380489408,510094380489408,True,True,
descriptive__descriptive-02__dn100__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,1.0,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,959546376485544,959546376485544,True,True,
descriptive__descriptive-02__dn070__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.7,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,959546376485544,959546376485544,True,True,
descriptive__descriptive-02__dn055__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.55,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,959546376485544,959546376485544,True,True,
descriptive__descriptive-02__dn040__slot04__seed959546376485544.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,959546376485544,4,0.4,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,959546376485544,959546376485544,True,True,
descriptive__descriptive-02__dn100__slot05__seed844919671624663.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,1.0,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,844919671624663,844919671624663,True,True,
descriptive__descriptive-02__dn070__slot05__seed844919671624663.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,0.7,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,844919671624663,844919671624663,True,True,
descriptive__descriptive-02__dn055__slot05__seed844919671624663.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,0.55,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,844919671624663,844919671624663,True,True,
descriptive__descriptive-02__dn040__slot05__seed844919671624663.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,844919671624663,5,0.4,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,844919671624663,844919671624663,True,True,
descriptive__descriptive-02__dn100__slot06__seed754560758249331.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,1.0,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,754560758249331,754560758249331,True,True,
descriptive__descriptive-02__dn070__slot06__seed754560758249331.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,0.7,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,754560758249331,754560758249331,True,True,
descriptive__descriptive-02__dn055__slot06__seed754560758249331.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,0.55,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,754560758249331,754560758249331,True,True,
descriptive__descriptive-02__dn040__slot06__seed754560758249331.flac,descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,0.4,"City soundscape, traffic, noise","City soundscape, traffic, noise",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,754560758249331,754560758249331,True,True,
descriptive__descriptive-03__dn100__slot01__seed549384717397659.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,1.0,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,549384717397659,549384717397659,True,True,
descriptive__descriptive-03__dn070__slot01__seed549384717397659.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,0.7,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,549384717397659,549384717397659,True,True,
descriptive__descriptive-03__dn055__slot01__seed549384717397659.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,0.55,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,549384717397659,549384717397659,True,True,
descriptive__descriptive-03__dn040__slot01__seed549384717397659.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,0.4,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,549384717397659,549384717397659,True,True,
descriptive__descriptive-03__dn100__slot02__seed104602413208802.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,1.0,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,104602413208802,104602413208802,True,True,
descriptive__descriptive-03__dn070__slot02__seed104602413208802.flac,descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,0.7,Ambient synth loop,Ambient synth loop,8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,104602413208802,104602413208802,True,True,
