local_filename,family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,best_matching_prompt_id,best_matching_prompt_label,best_matching_prompt_family_id,best_matching_prompt_family_label,best_matching_prompt_cosine_similarity,similarity_to_descriptive-01,similarity_to_descriptive-02,similarity_to_descriptive-03,similarity_to_descriptive-04,similarity_to_descriptive-05,similarity_to_abstract-01,similarity_to_abstract-02,similarity_to_abstract-03,similarity_to_abstract-04,similarity_to_abstract-05
descriptive__descriptive-01__dn100__slot04__seed417441241092408.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,417441241092408,4,1.0,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5150505900382996,0.5150505900382996,-0.04664446413516998,0.17039842903614044,-0.03534284979104996,-0.18547853827476501,-0.05493324249982834,-0.06591439247131348,-0.16616903245449066,-0.1456591635942459,-0.044255632907152176
descriptive__descriptive-01__dn070__slot04__seed417441241092408.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,417441241092408,4,0.7,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5164504647254944,0.5164504647254944,0.07130112498998642,0.04687739163637161,0.039902910590171814,-0.17531763017177582,-0.14967800676822662,-0.12323395907878876,-0.081742063164711,-0.10818258672952652,-0.02460523694753647
descriptive__descriptive-01__dn055__slot04__seed417441241092408.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,417441241092408,4,0.55,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.6075717806816101,0.6075717806816101,-0.03667577728629112,0.08669403195381165,0.06634167581796646,-0.05595019832253456,0.17077228426933289,0.14095216989517212,0.11774338781833649,0.03315487876534462,0.28764334321022034
descriptive__descriptive-01__dn040__slot04__seed417441241092408.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,417441241092408,4,0.4,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5731227993965149,0.5731227993965149,-0.14009718596935272,0.04536011442542076,0.060071296989917755,-0.08159446716308594,0.05212007090449333,0.020847681909799576,-0.06174004450440407,-0.07655208557844162,0.09884727746248245
descriptive__descriptive-01__dn100__slot05__seed660458076140203.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,660458076140203,5,1.0,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5674725770950317,0.5674725770950317,-0.2216142863035202,0.030710356310009956,-0.017418237403035164,-0.20387117564678192,0.002916130004450679,0.024395063519477844,-0.13991867005825043,-0.09075170010328293,0.09774789214134216
descriptive__descriptive-01__dn070__slot05__seed660458076140203.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,660458076140203,5,0.7,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5659620761871338,0.5659620761871338,-0.18722130358219147,0.13592663407325745,-0.0812259316444397,-0.14712399244308472,0.00928043108433485,0.020573440939188004,-0.09022615849971771,-0.10315270721912384,0.08614081144332886
descriptive__descriptive-01__dn055__slot05__seed660458076140203.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,660458076140203,5,0.55,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5406560301780701,0.5406560301780701,-0.11163997650146484,0.06737301498651505,-0.001304801320657134,-0.084310382604599,0.0576615184545517,0.17081761360168457,0.02232770435512066,-0.06695260107517242,0.2343468964099884
descriptive__descriptive-01__dn040__slot05__seed660458076140203.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,660458076140203,5,0.4,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,0.3167029321193695,0.08731082081794739,-0.023522010073065758,0.1154392808675766,-0.09168275445699692,-0.11046899855136871,0.09112122654914856,0.2964635491371155,0.1258893758058548,0.022285347804427147,0.3167029321193695
descriptive__descriptive-01__dn100__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,1.0,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5533972978591919,0.5533972978591919,0.16519294679164886,0.1936778426170349,0.01221848651766777,-0.028712140396237373,0.16340261697769165,0.06076197698712349,0.20017346739768982,0.0929337665438652,0.2877767086029053
descriptive__descriptive-01__dn070__slot06__seed873534913822354.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,873534913822354,6,0.7,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,0.5184826850891113,0.5184826850891113,0.0015276082558557391,0.11778368055820465,-0.10412708669900894,-0.12847888469696045,0.03732817620038986,-0.11540797352790833,-0.0571761317551136,-0.007085210643708706,0.012057001702487469
