family_id,family_label,prompt_id,prompt_label,prompt_text,denoise,n,mean_pairwise_cosine_distance,std_pairwise_cosine_distance,min_pairwise_cosine_distance,max_pairwise_cosine_distance,mean_pairwise_cosine_similarity
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty","Cat purring, feline, kitty",0.55,6,0.18911392986774445,0.07654256373643875,0.0755072832107544,0.37002456188201904,0.8108860850334167
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty","Cat purring, feline, kitty",0.4,6,0.2616439759731293,0.0979335755109787,0.10064041614532471,0.476230263710022,0.7383559942245483
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop","Jazz piano chords, loop",1.0,6,0.1539577841758728,0.0893888771533966,0.0378185510635376,0.33940690755844116,0.8460422158241272
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop","Jazz piano chords, loop",0.7,6,0.17403468489646912,0.053883716464042664,0.06788098812103271,0.2717399001121521,0.8259652853012085
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop","Jazz piano chords, loop",0.55,6,0.24435000121593475,0.0698251947760582,0.15094608068466187,0.3836679458618164,0.755649983882904
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop","Jazz piano chords, loop",0.4,6,0.29122430086135864,0.09445419907569885,0.14442777633666992,0.46523547172546387,0.7087756991386414
abstract,Abstract,abstract-01,Solar ekphrasis,Solar ekphrasis,1.0,6,0.49761420488357544,0.14891822636127472,0.256298303604126,0.7827437520027161,0.5023857951164246
abstract,Abstract,abstract-01,Solar ekphrasis,Solar ekphrasis,0.7,6,0.4731077253818512,0.1300530582666397,0.2693603038787842,0.7175389528274536,0.5268923044204712
abstract,Abstract,abstract-01,Solar ekphrasis,Solar ekphrasis,0.55,6,0.48292094469070435,0.16306570172309875,0.23452907800674438,0.7433861494064331,0.5170790553092957
abstract,Abstract,abstract-01,Solar ekphrasis,Solar ekphrasis,0.4,6,0.32972490787506104,0.12721587717533112,0.183693528175354,0.6221356987953186,0.670275092124939
abstract,Abstract,abstract-02,Cosmic infoldings,Cosmic infoldings,1.0,6,0.3960631787776947,0.10936661809682846,0.21297383308410645,0.5877165794372559,0.6039367914199829
abstract,Abstract,abstract-02,Cosmic infoldings,Cosmic infoldings,0.7,6,0.42854079604148865,0.1345273107290268,0.23775166273117065,0.6791529059410095,0.571459174156189
abstract,Abstract,abstract-02,Cosmic infoldings,Cosmic infoldings,0.55,6,0.3476584255695343,0.1008405014872551,0.16765999794006348,0.5676660537719727,0.6523416042327881
abstract,Abstract,abstract-02,Cosmic infoldings,Cosmic infoldings,0.4,6,0.34933707118034363,0.08011935651302338,0.23465657234191895,0.4855755567550659,0.650662899017334
abstract,Abstract,abstract-03,Colliding blackholes,Colliding blackholes,1.0,6,0.4329768121242523,0.08435165882110596,0.30733662843704224,0.667898416519165,0.5670231580734253
abstract,Abstract,abstract-03,Colliding blackholes,Colliding blackholes,0.7,6,0.5224052667617798,0.1509949117898941,0.30859893560409546,0.7519505620002747,0.4775947332382202
abstract,Abstract,abstract-03,Colliding blackholes,Colliding blackholes,0.55,6,0.51963210105896,0.13390889763832092,0.24143975973129272,0.7175571918487549,0.48036789894104004
abstract,Abstract,abstract-03,Colliding blackholes,Colliding blackholes,0.4,6,0.481077641248703,0.10096834599971771,0.2809756398200989,0.6342333555221558,0.5189223289489746
abstract,Abstract,abstract-04,Fragile entropic structure,Fragile entropic structure,1.0,6,0.4032403230667114,0.13222399353981018,0.19166862964630127,0.5931159257888794,0.5967596769332886
abstract,Abstract,abstract-04,Fragile entropic structure,Fragile entropic structure,0.7,6,0.4787077307701111,0.12740226089954376,0.24414050579071045,0.6689145565032959,0.5212922692298889
abstract,Abstract,abstract-04,Fragile entropic structure,Fragile entropic structure,0.55,6,0.45572084188461304,0.15118905901908875,0.28234970569610596,0.8069924116134644,0.544279158115387
abstract,Abstract,abstract-04,Fragile entropic structure,Fragile entropic structure,0.4,6,0.5443108677864075,0.14728115499019623,0.30987125635147095,0.8987405896186829,0.45568913221359253
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,Entangled bilateral transfer functions,1.0,6,0.3331727683544159,0.09454256296157837,0.13344299793243408,0.5205623507499695,0.6668272018432617
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,Entangled bilateral transfer functions,0.7,6,0.3197021484375,0.12327460199594498,0.10388165712356567,0.5038405060768127,0.6802978515625
