family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,local_filename,pc1,pc2
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,0.7,descriptive__descriptive-02__dn070__slot06__seed754560758249331.flac,-0.24807463586330414,-0.23622620105743408
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,0.55,descriptive__descriptive-02__dn055__slot06__seed754560758249331.flac,-0.04329324886202812,-0.2958281934261322
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",2,754560758249331,6,0.4,descriptive__descriptive-02__dn040__slot06__seed754560758249331.flac,-0.2770954966545105,-0.2978939116001129
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,1.0,descriptive__descriptive-03__dn100__slot01__seed549384717397659.flac,-0.10526233911514282,0.25930503010749817
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,0.7,descriptive__descriptive-03__dn070__slot01__seed549384717397659.flac,-0.41007834672927856,0.5046008825302124
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,0.55,descriptive__descriptive-03__dn055__slot01__seed549384717397659.flac,-0.1722264438867569,0.15906605124473572
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,549384717397659,1,0.4,descriptive__descriptive-03__dn040__slot01__seed549384717397659.flac,-0.14650315046310425,0.3198850750923157
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,1.0,descriptive__descriptive-03__dn100__slot02__seed104602413208802.flac,-0.23456522822380066,0.3413817584514618
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,0.7,descriptive__descriptive-03__dn070__slot02__seed104602413208802.flac,-0.031745102256536484,0.15993328392505646
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,0.55,descriptive__descriptive-03__dn055__slot02__seed104602413208802.flac,0.025018582120537758,0.3330972492694855
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,104602413208802,2,0.4,descriptive__descriptive-03__dn040__slot02__seed104602413208802.flac,0.24239684641361237,0.22708824276924133
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,1.0,descriptive__descriptive-03__dn100__slot03__seed247385422446336.flac,-0.3808542788028717,0.3392997980117798
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,0.7,descriptive__descriptive-03__dn070__slot03__seed247385422446336.flac,-0.11342203617095947,0.1508624106645584
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,0.55,descriptive__descriptive-03__dn055__slot03__seed247385422446336.flac,-0.1727244257926941,0.20095762610435486
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,247385422446336,3,0.4,descriptive__descriptive-03__dn040__slot03__seed247385422446336.flac,-0.05743083357810974,0.0014843035023659468
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,1.0,descriptive__descriptive-03__dn100__slot04__seed226397792656353.flac,-0.0610872246325016,0.44602811336517334
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,0.7,descriptive__descriptive-03__dn070__slot04__seed226397792656353.flac,-0.31620630621910095,0.29537102580070496
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,0.55,descriptive__descriptive-03__dn055__slot04__seed226397792656353.flac,-0.2690069377422333,0.43863970041275024
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,226397792656353,4,0.4,descriptive__descriptive-03__dn040__slot04__seed226397792656353.flac,0.0734516903758049,-0.20753975212574005
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,1.0,descriptive__descriptive-03__dn100__slot05__seed995575270598493.flac,0.07647525519132614,0.37568211555480957
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,0.7,descriptive__descriptive-03__dn070__slot05__seed995575270598493.flac,0.15790149569511414,0.3675689995288849
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,0.55,descriptive__descriptive-03__dn055__slot05__seed995575270598493.flac,0.1552756428718567,0.1966954618692398
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,995575270598493,5,0.4,descriptive__descriptive-03__dn040__slot05__seed995575270598493.flac,0.02933787927031517,0.2174481749534607
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,526088629548919,6,1.0,descriptive__descriptive-03__dn100__slot06__seed526088629548919.flac,0.07372003048658371,0.11972719430923462
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,526088629548919,6,0.7,descriptive__descriptive-03__dn070__slot06__seed526088629548919.flac,-0.022049980238080025,0.3195838928222656
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,526088629548919,6,0.55,descriptive__descriptive-03__dn055__slot06__seed526088629548919.flac,-0.05343925207853317,0.4405704438686371
descriptive,Descriptive,descriptive-03,Ambient synth loop,3,526088629548919,6,0.4,descriptive__descriptive-03__dn040__slot06__seed526088629548919.flac,0.11877776682376862,0.24696660041809082
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,398410139056662,1,1.0,descriptive__descriptive-04__dn100__slot01__seed398410139056662.flac,-0.6663190722465515,-0.1523890346288681
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",4,398410139056662,1,0.7,descriptive__descriptive-04__dn070__slot01__seed398410139056662.flac,-0.6703587770462036,-0.136563241481781
