source_family_id,source_family_label,source_prompt_id,source_prompt_label,target_prompt_id,target_prompt_label,target_prompt_family_id,target_prompt_family_label,denoise,n,mean_cosine_similarity,std_cosine_similarity
abstract,Abstract,abstract-01,Solar ekphrasis,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.07964322715997696,0.06026288866996765
abstract,Abstract,abstract-01,Solar ekphrasis,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.2498348206281662,0.10442375391721725
abstract,Abstract,abstract-01,Solar ekphrasis,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.20773901045322418,0.10563206672668457
abstract,Abstract,abstract-01,Solar ekphrasis,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.05341460183262825,0.11276115477085114
abstract,Abstract,abstract-01,Solar ekphrasis,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.025562524795532227,0.0680224820971489
abstract,Abstract,abstract-01,Solar ekphrasis,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.1758766919374466,0.09759514778852463
abstract,Abstract,abstract-02,Cosmic infoldings,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.049486398696899414,0.0591667965054512
abstract,Abstract,abstract-02,Cosmic infoldings,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.021458206698298454,0.06494637578725815
abstract,Abstract,abstract-02,Cosmic infoldings,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.3115202486515045,0.0941511020064354
abstract,Abstract,abstract-02,Cosmic infoldings,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.029076168313622475,0.06804939359426498
abstract,Abstract,abstract-02,Cosmic infoldings,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.0717630460858345,0.05676146596670151
abstract,Abstract,abstract-02,Cosmic infoldings,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.2589719295501709,0.05471128597855568
abstract,Abstract,abstract-02,Cosmic infoldings,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.28611961007118225,0.08689746260643005
abstract,Abstract,abstract-02,Cosmic infoldings,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.1283690184354782,0.10063738375902176
abstract,Abstract,abstract-02,Cosmic infoldings,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.12126519531011581,0.06656470894813538
abstract,Abstract,abstract-02,Cosmic infoldings,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.21327923238277435,0.055397868156433105
abstract,Abstract,abstract-03,Colliding blackholes,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.10690612345933914,0.0846601352095604
abstract,Abstract,abstract-03,Colliding blackholes,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.09012144804000854,0.028495779260993004
abstract,Abstract,abstract-03,Colliding blackholes,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.16216100752353668,0.12481661885976791
abstract,Abstract,abstract-03,Colliding blackholes,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.03763411566615105,0.0458536371588707
abstract,Abstract,abstract-03,Colliding blackholes,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.014183368533849716,0.09199386835098267
abstract,Abstract,abstract-03,Colliding blackholes,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.21783791482448578,0.0839981734752655
abstract,Abstract,abstract-03,Colliding blackholes,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.3693026006221771,0.059992872178554535
abstract,Abstract,abstract-03,Colliding blackholes,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.2501698136329651,0.08792562037706375
abstract,Abstract,abstract-03,Colliding blackholes,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.0677303671836853,0.06151033937931061
abstract,Abstract,abstract-03,Colliding blackholes,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.25450530648231506,0.07332739233970642
abstract,Abstract,abstract-04,Fragile entropic structure,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.011926361359655857,0.03381090238690376
abstract,Abstract,abstract-04,Fragile entropic structure,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.04312559589743614,0.04534662887454033
abstract,Abstract,abstract-04,Fragile entropic structure,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.43223080039024353,0.07566628605127335
abstract,Abstract,abstract-04,Fragile entropic structure,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.06694472581148148,0.05550139397382736
abstract,Abstract,abstract-04,Fragile entropic structure,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.0012549596140161157,0.08545812219381332
abstract,Abstract,abstract-04,Fragile entropic structure,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.23129945993423462,0.09657194465398788
abstract,Abstract,abstract-04,Fragile entropic structure,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.22488050162792206,0.08195258677005768
abstract,Abstract,abstract-04,Fragile entropic structure,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,-0.003526506246998906,0.08386653661727905
abstract,Abstract,abstract-04,Fragile entropic structure,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.04722832143306732,0.06543363630771637
abstract,Abstract,abstract-04,Fragile entropic structure,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.16883738338947296,0.1255982369184494
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.0515136756002903,0.06614042073488235
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.03121703863143921,0.057165130972862244
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.22557489573955536,0.07956065237522125
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,0.029690926894545555,0.05428446829319
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.02713337354362011,0.03239692747592926
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.30169180035591125,0.09238502383232117
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.3455037772655487,0.0766913965344429
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.20939262211322784,0.09295158833265305
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.07319215685129166,0.05631309002637863
abstract,Abstract,abstract-05,Entangled bilateral transfer functions,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.3179444372653961,0.08182410895824432
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.08080893754959106,0.0253572016954422
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.0307229682803154,0.06096230447292328
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.19453339278697968,0.10852733999490738
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,0.025058919563889503,0.051035474985837936
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.023806259036064148,0.06274618208408356
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.23571012914180756,0.10711776465177536
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.2494410276412964,0.10186474770307541
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.16108757257461548,0.20023104548454285
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.07368950545787811,0.05104825645685196
unconditioned,Unconditioned,unconditioned-01,Unconditioned slot 1,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.19742603600025177,0.06806344538927078
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.01555305253714323,0.07781315594911575
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.04752276837825775,0.07069037109613419
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.2229021042585373,0.08240893483161926
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.01725463755428791,0.052888352423906326
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.06923878192901611,0.09445056319236755
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.3202897310256958,0.13678386807441711
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.43185916543006897,0.10994873195886612
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.2351738065481186,0.08285684883594513
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.10989188402891159,0.07050449401140213
unconditioned,Unconditioned,unconditioned-02,Unconditioned slot 2,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.23638205230236053,0.05926162376999855
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.12454294413328171,0.0683969259262085
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.1253425031900406,0.05606633424758911
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.16602304577827454,0.15040835738182068
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.021410882472991943,0.06531234830617905
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,-0.038943395018577576,0.06589245051145554
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.24584217369556427,0.05856794863939285
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.34317517280578613,0.0930771678686142
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.14063583314418793,0.07218032330274582
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.07153656333684921,0.0630839392542839
unconditioned,Unconditioned,unconditioned-03,Unconditioned slot 3,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.19377432763576508,0.05686920881271362
unconditioned,Unconditioned,unconditioned-04,Unconditioned slot 4,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.0658489540219307,0.04984093829989433
